age,gender,monthly_income,instituition,region,location,type_of_student,type_of_employment,convenient_rental_car,difficulties_rental_car,reason_chosen_rental_car_company_convenient,reason_rental_car_convenience,reason_rental_car_occasions,affordable_bus,affordable_mrt,safe_taxi,safe_ride_hailing,safe_bus,safe_mrt,reason_taxi_comfort_of_privacy,reason_ride_hailing_ comfort_of_privacy,reason_ride_hailing_promotion,reason_taxi_promotion,customer_service_taxi,customer_service_ride_hailing,reason_ride_hailing_accessible,reason_taxi_more_accessible,reason_ride_hailing_easy_booking,cluster
18 - 21,Female,Below $500,NTU,Central,Paya lebar,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Agree,Agree,0,0,1,1,Strongly Agree,"Strongly Agree
",0,0,1,1
18 - 21,Male,Below $500,SP,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,1,1,1,1,Neutral,Neutral,1,0,1,2
18 - 21,Female,"$1,001 - $2,000
",NTU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Agree,"Strongly Agree
",0,0,1,0,Neutral,Neutral,1,1,0,0
22 - 25,Female,Below $500,SMU,North-East,Sengkang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,Agree,1,1,1,1,Strongly Agree,Agree,0,0,0,1
18 - 21,Female,"$501 - $1,000",SIT,North-East,Sengkang,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Strongly Agree,"Strongly Agree
",1,0,0,1
18 - 21,Female,"$501 - $1,000",SMU,Central,Kallang / Whampao,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Disagree,Neutral,1,0,0,0
22 - 25,Female,"$1,001 - $2,000
",University of Edinburgh,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,1,Agree,Agree,1,1,0,0
22 - 25,Female,"$501 - $1,000",SMU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Disagree,Neutral,Neutral,Agree,Strongly Disagree,0,0,1,1,Strongly Agree,"Strongly Agree
",1,1,1,1
22 - 25,Female,"$501 - $1,000",SMU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,0,0,1,1,Neutral,Agree,0,0,0,2
18 - 21,Female,"$501 - $1,000",SUSS,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Neutral,0,0,1,1,Neutral,Agree,0,0,0,0
18 - 21,Female,Below $500,NTU,North-East,Punggol,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Disagree,Strongly Agree,"Strongly Agree
",0,0,1,0,Agree,Agree,0,1,1,1
18 - 21,Female,Below $500,SMU,Tanjong Pagar,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,0,Agree,Agree,1,0,0,1
22 - 25,Female,Below $500,SUSS,North,Sembawang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,1,Agree,Agree,1,0,0,1
22 - 25,Female,Below $500,NUS,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,1,1,1,0,Strongly Agree,"Strongly Agree
",1,1,1,1
26 - 29,Male,Below $500,NTU,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Agree,Agree,Agree,1,1,1,1,Neutral,Neutral,1,1,0,1
22 - 25,Male,"$501 - $1,000",NUS,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,Agree,Strongly Agree,"Strongly Agree
",1,1,1,1,Agree,Agree,1,0,0,1
22 - 25,Female,"$501 - $1,000",SMU,North-East,Sengkang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Strongly Agree,"Strongly Agree
",0,0,0,0,Neutral,Neutral,0,0,0,1
22 - 25,Male,Prefer not to say,SMU,Central,Queenstown,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Strongly Agree,Agree,Agree,"Strongly Agree
",0,1,1,1,Strongly Agree,"Strongly Agree
",1,0,0,1
22 - 25,Male,"$501 - $1,000",NTU,North-East,Sengkang,Full-time Student,Not employed,Yes,Yes,1,1,0,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,0,0,1,1,Agree,Agree,1,0,0,1
26 - 29,Male,Below $500,NTU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Neutral,Agree,Agree,Agree,"Strongly Agree
",0,1,1,1,Strongly Agree,"Strongly Agree
",1,1,1,1
22 - 25,Female,"$1,001 - $2,000
",SMU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Agree,Agree,Agree,0,0,1,0,Neutral,Agree,1,1,0,0
18 - 21,Female,Below $500,NUS,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,0,1,1,1,Neutral,Agree,0,0,0,0
22 - 25,Female,"$2,001 - $3,000",NTU,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Neutral,Agree,0,0,0,1
18 - 21,Female,Prefer not to say,NUS,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Agree,Agree,Agree,1,0,1,1,Agree,Agree,0,1,0,1
22 - 25,Female,Below $500,SIT,North,Sembawang,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Neutral,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Agree,1,1,1,1
18 - 21,Male,Below $500,NUS,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",1,1,0,1,Agree,Agree,0,1,1,0
18 - 21,Female,Below $500,NTU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Disagree,Neutral,Disagree,Agree,Agree,1,1,0,1,Disagree,Agree,1,1,0,0
18 - 21,Female,Below $500,NUS,Central,Queenstown,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,"Strongly Agree
",Agree,"Strongly Agree
",0,0,0,0,Neutral,Neutral,0,0,0,1
18 - 21,Female,Below $500,NUS,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Disagree,Neutral,Agree,0,1,1,0,Agree,Agree,1,0,1,2
22 - 25,Male,Below $500,NUS,Central,Geylang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Strongly Agree,"Strongly Agree
",0,0,1,1,Strongly Agree,"Strongly Agree
",1,1,0,0
18 - 21,Female,Below $500,NTU,North-East,Hougang,Full-time Student,Not employed,Yes,Yes,1,1,1,Strongly Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Agree,1,1,1,0
22 - 25,Male,Below $500,NUS,Central,Bishan,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,0,0,0,1,Agree,Agree,0,0,0,2
18 - 21,Female,Below $500,NUS,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Disagree,Agree,Agree,Agree,Agree,1,1,0,0,Agree,Agree,0,0,0,0
22 - 25,Female,Prefer not to say,SMU,North,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Disagree,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",1,0,1,1,Disagree,"Strongly Disagree
",0,0,0,1
26 - 29,Female,">$3,001",University of Edinburgh,Central,Toa Payoh,Part-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,1,1,1,Agree,"Strongly Agree
",0,0,1,1
22 - 25,Male,"$501 - $1,000",NTU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Neutral,Neutral,0,0,1,1,Neutral,Neutral,0,0,1,0
>29,Female,">$3,001",NTU,East,Paya Lebar,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,Agree,Agree,Agree,0,0,1,1,Neutral,Neutral,1,1,0,1
18 - 21,Male,"$501 - $1,000",NTU,East,Paya lebar,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Neutral,Neutral,0,0,0,0,Agree,Neutral,0,0,0,1
18 - 21,Female,"$501 - $1,000",SMU,North,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Agree,Agree,Agree,0,0,1,1,Neutral,Agree,1,1,1,1
18 - 21,Female,Prefer not to say,SMU,Central,Queenstown,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,Agree,0,0,1,0,Neutral,Agree,1,1,1,1
22 - 25,Female,Prefer not to say,NUS,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Disagree,Neutral,Agree,1,0,0,1,Agree,Agree,0,0,0,1
18 - 21,Female,Below $500,NUS,North-East,Hougang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,"Strongly Agree
",0,0,0,0,Neutral,Neutral,0,0,0,0
22 - 25,Female,"$1,001 - $2,000
",NUS,North-East,Ang Mo Kio,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",1,0,1,1,Neutral,"Strongly Agree
",0,1,1,2
22 - 25,Male,Below $500,NTU,North,Woodlands,Full-time Student,Not employed,Yes,Yes,1,1,1,Agree,Agree,Neutral,Agree,Agree,Agree,0,0,1,1,Neutral,Agree,0,0,0,1
22 - 25,Female,"$501 - $1,000",SMU,Central,Central Area / CBD,Full-time Student,Not employed,Yes,No,1,1,1,Strongly Agree,"Strongly Agree
",Strongly Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,Agree,0,1,0,0
22 - 25,Female,"$1,001 - $2,000
",SMU,Central,Central Area / CBD,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,1,1,1,1,Agree,Agree,0,1,0,0
22 - 25,Male,Below $500,SIM,North,Yishun,Full-time Student,Not employed,Yes,Yes,1,1,1,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,1,Disagree,Neutral,1,0,1,1
22 - 25,Male,Prefer not to say,SIM,West,Choa Chu Kang,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,"Strongly Agree
",Agree,Agree,0,0,0,0,Neutral,"Strongly Agree
",0,1,1,0
22 - 25,Female,Prefer not to say,University of the arts london,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,1,1,0,Neutral,Neutral,0,1,0,0
22 - 25,Male,Below $500,SMU,West,Clementi,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,1,1,1,0,Agree,"Strongly Agree
",0,0,0,0
22 - 25,Male,Below $500,SMU,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Strongly Agree,Neutral,Neutral,"Strongly Agree
",1,0,0,1,Strongly Agree,Neutral,1,0,0,0
22 - 25,Female,">$3,001",NUS,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,0,0,1,1,Agree,Disagree,1,0,0,1
22 - 25,Male,Below $500,SMU,North-East,Ang Mo Kio,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Strongly Disagree,Disagree,0,0,0,2
22 - 25,Male,Below $500,NUS,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,0,Agree,Agree,0,1,0,1
22 - 25,Male,"$501 - $1,000",NTU,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,1,Neutral,Neutral,1,0,1,1
22 - 25,Male,"$1,001 - $2,000
",SIT,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Agree,Agree,1,1,1,1,Strongly Agree,"Strongly Agree
",1,1,1,0
>29,Male,Prefer not to say,NUS,North-East,Serangoon,Full-time Student,Employed Full-time,No,Yes,1,1,0,Agree,"Strongly Agree
",Strongly Agree,Neutral,Agree,"Strongly Agree
",1,0,0,0,Disagree,Disagree,1,0,1,1
22 - 25,Female,Below $500,NTU,East,Tampines,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Disagree,Neutral,Agree,Neutral,Agree,Agree,1,0,0,1,Neutral,Agree,0,0,1,1
18 - 21,Female,Below $500,SIT,Central,Bishan,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Strongly Agree,"Strongly Agree
",1,1,1,1,Neutral,Neutral,0,0,0,2
22 - 25,Female,Below $500,SMU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,"Strongly Agree
",0,0,1,1,Neutral,Neutral,0,0,0,2
18 - 21,Male,"$1,001 - $2,000
",NTU,West,Jurong East,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,Neutral,1,1,0,0
22 - 25,Male,"$2,001 - $3,000",NUS,West,Bukit Batok,Full-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,0,0,Agree,Agree,1,0,1,0
22 - 25,Male,"$1,001 - $2,000
",SMU,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,"Strongly Agree
",Agree,Agree,0,0,1,1,Strongly Disagree,"Strongly Disagree
",0,0,1,1
22 - 25,Female,"$2,001 - $3,000",SUSS,West,Jurong West,Part-time Student,Employed Full-time,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Neutral,Agree,1,1,0,0,Agree,Agree,0,1,1,0
18 - 21,Female,Prefer not to say,SMU,North-East,Ang Mo Kio,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,0,Agree,Neutral,0,0,0,2
22 - 25,Female,Below $500,SMU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Agree,Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,Agree,0,1,0,2
18 - 21,Female,Below $500,NTU,North,Yishun,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Strongly Agree,Agree,0,0,0,0,Agree,Agree,0,0,0,1
22 - 25,Female,Below $500,SMU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Agree,0,0,0,0,Neutral,Agree,0,0,0,1
22 - 25,Female,Below $500,SIT,West,Clementi,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Strongly Disagree,Neutral,Agree,Agree,Agree,1,1,1,1,Neutral,Neutral,1,1,1,0
22 - 25,Female,Below $500,RP,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Strongly Agree,"Strongly Agree
",0,0,1,0,Strongly Disagree,Neutral,0,0,0,0
22 - 25,Female,Below $500,NUS,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,Neutral,Neutral,0,0,1,1
22 - 25,Male,Below $500,NTU,West,Jurong East,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Agree,Agree,0,1,1,0,Neutral,Neutral,0,0,0,0
22 - 25,Female,"$2,001 - $3,000",NUS,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Disagree,"Strongly Disagree
",Strongly Agree,"Strongly Agree
",0,0,1,1,Strongly Disagree,"Strongly Disagree
",0,0,0,1
18 - 21,Female,Below $500,NTU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Neutral,1,1,1,1
18 - 21,Female,Prefer not to say,SMU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Neutral,Neutral,0,0,1,0,Agree,"Strongly Agree
",1,0,1,2
18 - 21,Female,"$501 - $1,000",NUS,North-East,Serangoon,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Agree,"Strongly Agree
",0,0,1,0,Agree,Agree,0,0,0,1
22 - 25,Male,Below $500,NTU,West,Bukit Panjang,Full-time Student,Not employed,Yes,No,1,1,1,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,0,Disagree,Disagree,1,0,0,0
22 - 25,Female,"$2,001 - $3,000",SMU,North,Sembawang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,1,Neutral,Agree,0,0,0,1
22 - 25,Female,Prefer not to say,SMU,West,Clementi,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Neutral,0,0,1,0,Agree,Agree,1,0,1,0
18 - 21,Female,Prefer not to say,NUS,North-East,Ang Mo Kio,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Agree,Agree,Agree,0,0,0,0,Agree,"Strongly Agree
",1,1,0,2
18 - 21,Female,"$1,001 - $2,000
",SMU,East,Tampines,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Disagree,Disagree,Agree,Neutral,Agree,Agree,1,1,1,1,Strongly Agree,"Strongly Agree
",1,1,1,1
22 - 25,Female,Below $500,NUS,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Disagree,Agree,Agree,0,0,0,0,Agree,Agree,0,0,0,1
18 - 21,Female,Below $500,NUS,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,"Strongly Agree
",Neutral,Neutral,Neutral,Neutral,0,1,1,1,Strongly Agree,"Strongly Agree
",0,0,0,0
22 - 25,Female,"$1,001 - $2,000
",SMU,West,Bukit Panjang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,"Strongly Agree
",Neutral,"Strongly Agree
",Neutral,"Strongly Agree
",1,1,0,1,Neutral,"Strongly Agree
",1,1,0,0
22 - 25,Male,Prefer not to say,SMU,West,Jurong East,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,0,0,Neutral,Agree,0,1,1,0
22 - 25,Female,Prefer not to say,NTU,North-East,Hougang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Agree,Agree,Agree,0,0,0,0,Neutral,Agree,0,0,0,0
18 - 21,Female,Below $500,SMU,East,Paya Lebar,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,"Strongly Agree
",Agree,Neutral,Agree,Agree,0,0,0,1,Agree,Agree,1,1,1,0
18 - 21,Female,"$1,001 - $2,000
",NTU,East,Tampines,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Strongly Agree,"Strongly Agree
",0,1,0,0,Agree,Agree,0,1,1,1
22 - 25,Male,"$501 - $1,000",SMU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Agree,Agree,Agree,0,0,1,1,Neutral,Neutral,1,1,0,1
>29,Female,"$2,001 - $3,000",NUS,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Neutral,Agree,Agree,Agree,Agree,1,1,1,0,Agree,Agree,1,0,1,1
26 - 29,Female,Below $500,NTU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Agree,Agree,Neutral,Agree,Agree,0,0,0,0,Neutral,Agree,1,1,0,1
22 - 25,Male,Below $500,SMU,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Agree,"Strongly Agree
",0,0,0,0,Disagree,"Strongly Disagree
",1,1,0,0
22 - 25,Male,Below $500,SMU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,1,1,Neutral,Neutral,1,1,1,2
18 - 21,Female,"$501 - $1,000",NTU,Central,Bishan,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Agree,Agree,Agree,1,1,1,1,Agree,Agree,0,0,0,2
18 - 21,Female,Below $500,NUS,West,Clementi,Full-time Student,Not employed,Yes,No,1,1,0,Agree,Neutral,Neutral,Neutral,Agree,Agree,0,0,1,1,Neutral,Neutral,0,0,0,0
22 - 25,Female,"$501 - $1,000",SMU,North-East,Ang Mo Kio,Full-time Student,Not employed,No,No,1,0,1,Neutral,Agree,Agree,Agree,Agree,Agree,1,0,1,1,Agree,Agree,1,1,1,2
22 - 25,Female,Below $500,SMU,North-East,Punggol,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Disagree,Agree,Neutral,Agree,0,0,1,0,Agree,"Strongly Agree
",0,0,1,1
22 - 25,Male,"$501 - $1,000",NTU,East,Bedok,Full-time Student,Not employed,Yes,No,1,1,1,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Agree,0,1,0,2
22 - 25,Male,"$1,001 - $2,000
",SMU,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,0,1,1,Neutral,"Strongly Agree
",1,0,1,0
22 - 25,Female,Below $500,SMU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,0,1,1,1,Neutral,Agree,1,0,0,2
18 - 21,Female,Below $500,SMU,East,Bedok,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Disagree,Neutral,Strongly Agree,"Strongly Agree
",0,1,1,0,Strongly Agree,"Strongly Agree
",1,1,1,2
22 - 25,Male,"$1,001 - $2,000
",SMU,North-East,Sengkang,Full-time Student,Not employed,Yes,No,1,1,1,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,1,0,0,0,Strongly Agree,"Strongly Disagree
",0,1,0,1
22 - 25,Female,Below $500,SMU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,Agree,0,1,1,1
>29,Male,">$3,001",NTU,West,Choa Chu Kang,Full-time Student,Employed Full-time,Yes,No,1,1,0,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,0,Neutral,Agree,0,1,0,0
22 - 25,Female,Below $500,SMU,East,Pasir Ris,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Neutral,Agree,Agree,0,0,0,0,Neutral,Neutral,0,0,0,0
22 - 25,Female,"$1,001 - $2,000
",NUS,West,Choa Chu Kang,Part-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Neutral,Agree,0,0,1,0,Strongly Agree,"Strongly Agree
",1,0,1,0
22 - 25,Male,"$2,001 - $3,000",SIT,West,Choa Chu Kang,Full-time Student,Employed Full-time,Yes,Yes,1,0,1,Agree,"Strongly Agree
",Disagree,Disagree,Agree,Neutral,1,1,0,0,Disagree,Agree,0,0,0,0
26 - 29,Male,"$2,001 - $3,000",NUS,West,Choa Chu Kang,Full-time Student,Not employed,Yes,No,1,1,1,Agree,Agree,Neutral,Neutral,Agree,"Strongly Agree
",1,0,1,0,Disagree,Disagree,1,1,1,0
22 - 25,Female,Below $500,SMU,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Strongly Agree,"Strongly Agree
",Agree,"Strongly Agree
",0,0,0,0,Agree,"Strongly Agree
",0,1,0,0
22 - 25,Female,Prefer not to say,NTU,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Agree,Agree,Agree,0,0,1,1,Strongly Agree,Agree,0,0,1,1
22 - 25,Female,Below $500,SMU,North-East,Punggol,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Agree,Agree,Agree,1,1,1,1,Strongly Agree,Agree,1,1,1,1
18 - 21,Female,Prefer not to say,NUS,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,1,Agree,Agree,0,0,0,1
22 - 25,Male,Below $500,NTU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,0,1,1,1,Strongly Agree,Agree,1,1,1,1
