id,age,gender,monthly_income,tertiary_student,instituition,region,location,type_of_student,type_of_employment,frequently_used_mot,frequency_mot,preferred_mot,reason_least_preferred_mot,circ_least_preferred_mot,factors_mot_ranking,overall_avg_spending,research,comfortable,explore,frequently_used_mot_cnt,most_preferred_mot,least_preferred_mot,most_impt_factor,least_impt_factor,frequency_bus,waiting_time_bus,reason_bus,affordable_bus,accesible_bus,safe_bus,prevent_bus,chartered_bus,occasion_chartered_bus,price_chartered_bus,frequency_mrt,spend_mrt,reason_mrt,mrt_lines,affordable_mrt,accessible_mrt,waiting_mrt,safe_mrt,prevent_mrt,mrt_lines_cnt,frequency_taxi,waiting_time_taxi,way_hail,reason_taxi,preference_rank_taxi,affordable_taxi,accessible_taxi,safe_taxi,customer_service_taxi,difficulties_taxi,prevent_taxi,most_preferred_taxi,least_preferred_taxi,frequency_ride_hailing,reason_ride_hailing,ride_hailing_type,preference_rank_ride_hailing,reason_ride_hailing_company,affordable_ride_hailing,safe_ride_hailing,customer_service_ride_hailing,difficulties_ride_hailing,prevent_ride_hailing,used_ride_hailing_svc_cnt,most_preferred_ride_hailing,least_preferred_ride_hailing,own_driving_license,rent_before,preference_rank_rental_car,reason_rental_car_company,frequency_rental,duration_rental,reason_rental_car,difficulties_rental_car,difficulties_reason_rental_car,convenient_rental_car,convenient_reason_rental_car,affordable_rental_car,reasonable_rental_car,type_rental_car,perception_rental_car,max_price_rental_car,biz_model_rental,biz_model_reason_rental,biz_model_important_rental,prevent_rental,type_rental_car_heard_cnt,aware_cdg,used_cdg,accessibility_cdg,cs_cdg,cost_cdg,comfort_cdg,reliability_cdg,info_cdg,overall_rating_cdg,perception_cdg,improvement_cdg,incentives_cdg,aware_cdg_cnt,used_cdg_cnt
206,22 - 25,Female,Below $500,Yes,SIT,West,Clementi,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",Daily,"['Bus\xa0', 'MRT', 'Ride-hailing services', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']",No driving license / bicycle,If I had license / bicycle,"['Price', 'Travel Time', 'Reliability', 'Safety', 'Waiting Time', 'Physical Accessibility', 'Comfort', 'Customer Service', 'Service Information']",$100-$150,8,8,8,3,Bus ,Car rentals,Price,Service Information,2-4 times a week,Less than 10 minutes,"['Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Too crowded']",No,big events planning,< $100,3-4 days per week,30-45 mins,"['To get to the relevant bus stop', 'To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)', 'Downtown Line (Blue Line)', 'North-South Line (Red Line)']",Strongly Disagree,Agree,Agree,Agree,"['Bulky items', 'Too crowded', 'Cost']",4,Once a week,5-10 mins,['Online/In-app'],"['When it is more convenient', 'When there is a promotion', 'When it is more accessible', 'When I need the comfort of privacy']","['ComfortDelgro', 'SMRT Taxi', 'Trans-Cab', 'Premier Taxi', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Neutral,Neutral,Neutral,Peak hours will increase the price way over a reasonable range,"['Long waiting time', 'Poor customer service', 'Too costly']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Fixed price'],Neutral,Agree,Neutral,Peak hours increasing prices way over reasonable range,"['Long wait time', 'Poor driving', 'Too costly']",3,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO']","Unsure, only seen them around ",< $3,"['Station-based', 'Free-floating']",['Convenience'],4,"['Inconvenient Pickup Locations', 'Costly']",2,['Taxi'],['Taxi'],Neutral,Neutral,Somewhat dissatisfied,Somewhat satisfied,Neutral,Neutral,Neutral,"Comfortable, but a little expensive ",Cheaper rates,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
207,22 - 25,Female,Below $500,Yes,RP,West,Jurong West,Full-time Student,,"['MRT', 'Bus']",Daily,"['MRT', 'Bus\xa0', 'Car rentals', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi']",It's the cheapest and fastest way,When I have more time to sit in the bus,"['Waiting Time', 'Price', 'Travel Time', 'Physical Accessibility', 'Reliability', 'Comfort', 'Safety', 'Service Information', 'Customer Service']",$50-$100,5,5,5,2,MRT,Taxi,Waiting Time,Customer Service,Daily,10-20 minutes,['Directly to work/school'],Strongly Agree,Strongly Agree,Strongly Agree,['Long waiting time'],No,,< $100,Daily,30-45 mins,"[""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['East-West Line (Green Line)', 'North-East Line (Purple Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
",['Long travel time'],2,Once a week,5-10 mins,['Online/In-app'],['When I am rushing for school'],"['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Yellow-Top Taxi', 'Premier Taxi', 'Prime Taxi']",Neutral,Strongly Disagree,Neutral,Strongly Disagree,No. ,['Long waiting time'],ComfortDelgro,Prime Taxi,None,['When there is a promotion'],"['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Gojek', 'Comfort DelGro', 'Others', 'Ryde', 'Tada Mobility']","[""It's faster and the postal code does not need you to explain in detail""]",Agree,Neutral,Neutral,No,['Long wait time'],3,Grab,Tada Mobility,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,< $3,['Free-floating'],"['Convenience', 'Cost']",10,"['Inconvenient Pickup Locations', 'Costly', 'Age Restrictions']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very dissatisfied,Neutral,Very dissatisfied,Neutral,An old company in sg,Provide more convenience and faster app and waiting time.,['Competitive prices'],1,1
208,22 - 25,Female,Below $500,Yes,NUS,North,Woodlands,Full-time Student,,"['Bus', 'MRT']",3 - 4 days a week,"['Bus\xa0', 'MRT', 'Ride-hailing services', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']","I do not have a license to rent and drive a car. Also, some places will be too far and inconvenient to walk.",When I get a license or when the location is less than a 10 minutes walk.,"['Price', 'Safety', 'Travel Time', 'Comfort', 'Waiting Time', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information']",$50-$100,9,8,7,2,Bus ,Car rentals,Price,Service Information,2-4 times a week,10-20 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'Directly to work/school']",Agree,Neutral,Neutral,['Long waiting time'],No,,I don't know,5-6 days per week,More than an hour,"[""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)"", 'To get to work/school']","['North-South Line (Red Line)', 'Circle Line (Orange/Yellow Line)']",Neutral,Agree,Neutral,Neutral,['Too crowded'],2,Never,Less than 5 mins,['Online/In-app'],['When I am in a rush'],"['ComfortDelgro', 'CityCab', 'Trans-Cab', 'SMRT Taxi', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Agree,Neutral,Neutral,Yes. During peak hour.,['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,['When it is easy to book'],"['Grab', 'Gojek', 'Tada Mobility']","['Tada Mobility', 'Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Others']",[''],Agree,Neutral,Neutral,During peak period.,"['Long wait time', 'Too costly']",3,Tada Mobility,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,$3.01 - $5,['Free-floating'],['Convenience'],7,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,They can be expensive at times.,"Cheaper prices, probably to the price of Tada or Grab.","['Promotion codes', 'More locations to rent from']",1,1
209,22 - 25,Male,Below $500,Yes,NTU,West,Jurong East,Full-time Student,,"['Bus', 'MRT']",5 - 6 days a week,"['Bus\xa0', 'MRT', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Car rentals', 'Taxi']",The fare is not fixed and most of the time more expensive than a private hired car,Last option when im left with no other choice,"['Price', 'Travel Time', 'Waiting Time', 'Reliability', 'Comfort', 'Safety', 'Physical Accessibility', 'Service Information', 'Customer Service']",$50-$100,10,8,5,2,Bus ,Taxi,Price,Customer Service,5-6 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'Directly to work/school']",Strongly Agree,Strongly Agree,Agree,"['Long waiting time', 'Long travel time', 'Bulky items']",No,,< $100,5-6 days per week,30-45 mins,"[""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)"", 'To get to the relevant bus stop', 'To get to work/school']","['East-West Line (Green Line)', 'North-East Line (Purple Line)']","Strongly Agree
",Neutral,"Strongly Agree
",Agree,"['Long travel time', 'Bulky items', 'Too crowded']",2,Never,5-10 mins,['Online/In-app'],['when there is no private hire car'],"['ComfortDelgro', 'Premier Taxi', 'Yellow-Top Taxi', 'Trans-Cab', 'SMRT Taxi', 'CityCab', 'Prime Taxi']",Disagree,Neutral,Neutral,Neutral,Less populated area like away from city and mrt statoons,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Prime Taxi,Once a week,"['When there is a promotion', 'When I need the comfort of privacy', 'When it is more convenient']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",['Easier to use to book a vehicl'],Agree,Neutral,Neutral,When in the wee hours like 3-4am at more desserted or less populated area,['Too costly'],2,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO', 'Tribecar']",Advertised widely,$3.01 - $5,['Free-floating'],['Convenience'],3,"['Inconvenient Pickup Locations', 'Costly', 'Age Restrictions', 'Safety of Car Maintenance']",3,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Reputable as a taxi company,If the rent a car service is for non- private hire use,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
210,22 - 25,Female,"$2,001 - $3,000",Yes,NUS,North-East,Serangoon,Full-time Student,,"['Bus', 'MRT']",5 - 6 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",Expensive,If it's cheaper,"['Price', 'Comfort', 'Safety', 'Reliability', 'Travel Time', 'Waiting Time', 'Physical Accessibility', 'Service Information', 'Customer Service']",$50-$100,10,10,5,2,MRT,Car rentals,Price,Customer Service,5-6 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Strongly Agree,Strongly Agree,Strongly Agree,"['Long waiting time', 'Long travel time']",No,,I don't know,5-6 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)"", 'To get to the relevant bus stop']","['Circle Line (Orange/Yellow Line)', 'North-South Line (Red Line)']","Strongly Agree
",Neutral,"Strongly Agree
","Strongly Agree
",['Bulky items'],2,Never,More than 10 mins,['Flag down'],"['When there is a promotion', 'When it is more convenient']","['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi', 'Premier Taxi']",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Remote locations,"['Roads are dangeous', 'Long waiting time', 'Too costly']",ComfortDelgro,Premier Taxi,None,"['When there is a promotion', 'When it is more convenient']",['Grab'],"['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['More reliabl'],Neutral,"Strongly Disagree
","Strongly Disagree
",Remote location,"['Poor driving', 'Too costly', 'Long wait time']",1,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,['No'],,$7.01 - $10,['Free-floating'],['Convenience'],7,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance']",1,['Taxi'],['Taxi'],Very satisfied,Very satisfied,Somewhat dissatisfied,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Neutral,Big taxi company,Be cheaper without under paying taxi drivers,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
211,18 - 21,Female,Below $500,Yes,NTU,East,Tampines,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",3 - 4 days a week,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",Taxis can be quite smelly and I don't know how to drive. Taxi surcharges can be quite expensive too.,If I was late and I happen to see a taxi in front of me.,"['Travel Time', 'Waiting Time', 'Comfort', 'Price', 'Reliability', 'Safety', 'Customer Service', 'Physical Accessibility', 'Service Information']",$50-$100,9,8,8,3,MRT,Car rentals,Travel Time,Service Information,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long travel time', 'Long waiting time', 'Bulky items', 'Too crowded']",No,If I am planning an event or camp. ,< $100,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']",Agree,Agree,Agree,Agree,"['Long wait time', 'Long travel time', 'Bulky items', 'Too crowded']",3,Never,5-10 mins,"['Flag down', 'Online/In-app']","['When it is more convenient', 'When it is more accessible', 'When it is easy to book', 'When there is a promotion']","['ComfortDelgro', 'Trans-Cab', 'SMRT Taxi', 'Premier Taxi', 'Prime Taxi', 'CityCab', 'Yellow-Top Taxi']",Disagree,Disagree,Agree,Agree,Yes. In the morning when I am going to school. ,"['Long waiting time', 'Poor customer service', 'Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is more accessible', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Gojek', 'Grab', 'Ryde']","['Grab', 'Ryde', 'Gojek', 'Comfort DelGro', 'Tada Mobility', 'Others']",['Grab has the shortest waiting time because they have the bigger fleet of drivers.'],Disagree,Agree,Neutral,,"['Too costly', 'Long wait time']",3,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar']",,$5.01 - $7,"['Free-floating', 'Station-based']","['Convenience', 'Cost']",5,"['Costly', 'Age Restrictions', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided', 'Inconvenient Pickup Locations']",2,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,[''],1,1
212,18 - 21,Female,Prefer not to say,Yes,SMU,East,Bedok,Full-time Student,,"['MRT', 'Bus']",Once a week,"['MRT', 'Taxi', 'Bus\xa0', 'Ride-hailing services', 'Car rentals', 'Others: Cycle, Walk, Drive']",It is not as convenient as my top options and my family and I do not own a car ,If my top options are inaccessible,"['Travel Time', 'Price', 'Waiting Time', 'Safety', 'Physical Accessibility', 'Comfort', 'Reliability', 'Customer Service', 'Service Information']",$50-$100,10,7,3,2,MRT,"Others: Cycle, Walk, Drive",Travel Time,Service Information,Daily,10-20 minutes,['When travelling to the nearby MRT Stations'],Agree,Strongly Agree,Neutral,"['Long waiting time', 'Long travel time']",No,,I don't know,Daily,30-45 mins,['To get to work/school'],"['Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']",Agree,Agree,"Strongly Agree
",Neutral,"['Too crowded', 'Bulky items']",2,Once a week,5-10 mins,['Online/In-app'],['When it is more convenient'],"['ComfortDelgro', 'Trans-Cab', 'SMRT Taxi', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi', 'CityCab']",Neutral,Agree,Agree,Agree,,"['Long waiting time', 'Too costly']",ComfortDelgro,CityCab,Once a week,"['When it is easy to book', 'When it is more accessible', 'When there is a promotion']",['Grab'],"['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']","[""It's easy to call a taxi as they have many drivers and waiting time would not be that long (for grab & comfort delgro""]",Neutral,Neutral,"Strongly Agree
",When it's raining and the prices fluctuates alot,"['Long wait time', 'Too costly']",1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,[' None'],,$7.01 - $10,['Free-floating'],"['Convenience', 'Cost']",0,"['Costly', 'Age Restrictions']",1,"['Taxi', 'Chartered Bus', 'Rent-A-Car']",['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,They are everywhere so it isn't hard to find a taxi if you need it ,Improve its costs and have more promotions,"['More locations to rent from', 'Giveaways and contests', 'Promotion codes']",3,1
157,Below 18,,,,,,,,,[''],,[''],,,[''],,,,,1,,,,,,,[''],,,,[''],,,,,,[''],[''],,,,,[''],1,,,[''],[''],[''],,,,,,[''],,,,[''],[''],[''],[''],,,,,[''],1,,,,,[''],[''],,,[''],,,,,,,[''],,,[''],[''],,[''],1,[''],[''],,,,,,,,,,[''],1,1
162,>29,Male,"$2,001 - $3,000",No,,,,,Employed Full-time,[''],,[''],,,[''],,,,,1,,,,,,,[''],,,,[''],,,,,,[''],[''],,,,,[''],1,,,[''],[''],[''],,,,,,[''],,,,[''],[''],[''],[''],,,,,[''],1,,,,,[''],[''],,,[''],,,,,,,[''],,,[''],[''],,[''],1,[''],[''],,,,,,,,,,[''],1,1
173,26 - 29,Female,">$3,001",No,,,,,Employed Full-time,[''],,[''],,,[''],,,,,1,,,,,,,[''],,,,[''],,,,,,[''],[''],,,,,[''],1,,,[''],[''],[''],,,,,,[''],,,,[''],[''],[''],[''],,,,,[''],1,,,,,[''],[''],,,[''],,,,,,,[''],,,[''],[''],,[''],1,[''],[''],,,,,,,,,,[''],1,1
179,22 - 25,Female,">$3,001",No,,,,,Employed Full-time,[''],,[''],,,[''],,,,,1,,,,,,,[''],,,,[''],,,,,,[''],[''],,,,,[''],1,,,[''],[''],[''],,,,,,[''],,,,[''],[''],[''],[''],,,,,[''],1,,,,,[''],[''],,,[''],,,,,,,[''],,,[''],[''],,[''],1,[''],[''],,,,,,,,,,[''],1,1
213,18 - 21,Female,"$501 - $1,000",Yes,NUS,North-East,Serangoon,Full-time Student,,"['MRT', 'Bus']",Once a week,"['Others: Cycle, Walk, Drive', 'MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Car rentals']",Its expensive,If really really necessary eg I’m late or there’s no other mode of transport available,"['Price', 'Travel Time', 'Waiting Time', 'Safety', 'Reliability', 'Comfort', 'Physical Accessibility', 'Customer Service', 'Service Information']",Less than $50,9,10,5,2,"Others: Cycle, Walk, Drive",Car rentals,Price,Service Information,Daily,10-20 minutes,"['Directly to work/school', 'When travelling to the nearby MRT Stations']",Strongly Agree,Strongly Agree,Agree,"['Bulky items', 'Long travel time', 'Long waiting time']",No,,< $100,One day per week,15-30 mins,"[""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'North-East Line (Purple Line)']","Strongly Agree
","Strongly Agree
","Strongly Agree
","Strongly Agree
",['Bulky items'],2,Never,More than 10 mins,['Online/In-app'],['If I’m really late'],"['ComfortDelgro', 'CityCab', 'Trans-Cab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi', 'Premier Taxi']",Neutral,Agree,Agree,Agree,Nope,['Too costly'],ComfortDelgro,Premier Taxi,None,"['When there is a promotion', 'If i’m really late']",['Grab'],"['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",['Its jus because the Grab app is convenient so i can order food deliveries and rides all in the same ap'],Neutral,Agree,Agree,nope,['Too costly'],1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Grabcar Rental']",,$3.01 - $5,['Free-floating'],['Convenience'],7,"['Costly', 'Inconvenient Pickup Locations']",2,"['Taxi', 'Chartered Bus']",['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,They’re reliable and easy to access,nil,"['Competitive prices', 'More locations to rent from', 'Promotion codes', 'Giveaways and contests']",2,1
214,22 - 25,Male,Below $500,Yes,NTU,West,Bukit Panjang,Full-time Student,,"['MRT', 'Bus']",3 - 4 days a week,"['Others: Cycle, Walk, Drive', 'Bus\xa0', 'MRT', 'Ride-hailing services', 'Car rentals', 'Taxi']",expensive,when im in a rush,"['Price', 'Travel Time', 'Waiting Time', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information', 'Comfort', 'Safety']",Less than $50,6,10,7,2,"Others: Cycle, Walk, Drive",Taxi,Price,Safety,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school']",Agree,Agree,Agree,['Long waiting time'],No,"big events
",< $100,One day per week,30-45 mins,['To get to work/school'],"['Downtown Line (Blue Line)', 'North-South Line (Red Line)', 'Bukit Panjang LRT', 'East-West Line (Green Line)']",Agree,Agree,Agree,Agree,['Too crowded'],4,Never,5-10 mins,['Online/In-app'],['When it is easy to book'],"['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Disagree,Agree,Disagree,No,['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,['When it is more accessible'],"['Grab', 'Gojek']","['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",[''],Agree,Agree,Disagree,,"['Long wait time', 'Too costly']",2,Grab,Others,Yes,Yes,"['Tribecar', ' No preference', 'BlueSG', 'GetGo', 'LionCity Rental', 'Grabcar Rental', 'Lumens Auto']","['Cheap', 'Convenient']",Once every 6 months,4 - 8 hours,"['Lesser liabilities', 'Too costly to own a car', 'Occasions', 'Convenience']",No,,Yes,,Agree,Neutral,[''],,,['Free-floating'],"['Convenience', 'Reliability']",9,"['Costly', 'Inconvenient Pickup Locations']",1,[''],[''],,,,,,,,,,[''],1,1
215,22 - 25,Female,"$2,001 - $3,000",Yes,SMU,North,Sembawang,Full-time Student,,"['Bus', 'MRT']",Once a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Taxi', 'Ride-hailing services', 'Car rentals']",too expensive :-(,if I'm rich or will be reimbursed,"['Price', 'Travel Time', 'Physical Accessibility', 'Reliability', 'Waiting Time', 'Customer Service', 'Service Information', 'Comfort', 'Safety']",Less than $50,7,6,2,2,MRT,Car rentals,Price,Safety,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Long travel time', 'Bulky items']",No,events with many people,$101 - $120,One day per week,30-45 mins,['To get to work/school'],['North-South Line (Red Line)'],Agree,Neutral,Agree,Agree,"['Long wait time', 'Long travel time', 'Bulky items']",1,Never,Less than 5 mins,['Online/In-app'],['When there is a promotion'],"['Trans-Cab', 'ComfortDelgro', 'Prime Taxi', 'Premier Taxi', 'CityCab', 'SMRT Taxi', 'Yellow-Top Taxi']",Strongly Disagree,Disagree,Agree,Neutral,never experienced difficulties finding a ride,['Too costly'],Trans-Cab,Yellow-Top Taxi,None,['When there is a promotion'],"['Grab', 'Gojek']","['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",['commonly use'],Disagree,Neutral,Agree,never experienced difficulties finding a ride,['Too costly'],2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],"never used before, looks cool",$3.01 - $5,['Free-floating'],['Convenience'],5,['Costly'],1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,"['Giveaways and contests', 'Promotion codes', 'Competitive prices']",1,1
216,22 - 25,Female,Prefer not to say,Yes,SMU,West,Clementi,Full-time Student,,"['Bus', 'MRT', 'Taxi', 'Ride-hailing services']",5 - 6 days a week,"['Ride-hailing services', 'Taxi', 'Bus\xa0', 'MRT', 'Others: Cycle, Walk, Drive', 'Car rentals']",Inconvenient,If the public transport broke down,"['Safety', 'Physical Accessibility', 'Travel Time', 'Reliability', 'Price', 'Customer Service', 'Service Information', 'Comfort', 'Waiting Time']",$100-$150,8,7,6,4,Ride-hailing services,Car rentals,Safety,Waiting Time,2-4 times a week,Less than 10 minutes,['Directly to work/school'],Agree,Agree,Agree,['Long waiting time'],No,,< $100,3-4 days per week,15-30 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)']",Agree,Agree,Agree,Neutral,['Too crowded'],3,Once a week,Less than 5 mins,['Online/In-app'],['When it is more convenient'],"['ComfortDelgro', 'Trans-Cab', 'SMRT Taxi', 'CityCab', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Agree,Agree,Agree,,"['Poor customer service', 'Too costly', 'Private hire is cheaper', 'Long waiting time']",ComfortDelgro,Yellow-Top Taxi,3-4 days a week,"['When it is more accessible', 'When there is a promotion', 'When it is easy to book']","['Grab', 'Gojek', 'ComfortDelGro']","['Gojek', 'Grab', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['App Interface and User accessibility \nPric'],Disagree,Agree,Agree,When it is raining/ Peak Hours,"['Long wait time', 'Too costly']",3,Gojek,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,$3.01 - $5,['Free-floating'],"['Convenience', 'Cost', 'Reliability']",2,"['Age Restrictions', 'Inconvenient Pickup Locations', 'Costly']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,reliable,"improve their app (ie I cannot input specific locations (ie a name of a shop, like LUNA patesserie), and can only input street addresses and taxi stands","['Competitive prices', 'Promotion codes']",1,1
