year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,Awesome :),
2020,NA,None
2020,slow,drive faster
2020,It saves time,Nothing
2020,Simplicity,Nothing yet
2020,Simplicity,Time
2020,Simplicity,Time
2020,Love it,"All aspects , nothing is always completely perfect"
2020,the entire experience I get is positive,get more local/malaysian bus captains and not Chinese (china) ones
2020,Their services are very good and offered a good value for my money.,They are really doing a good job.
2020,It more affordable and it very safe,Speed on how to book them at times
2020,Very peaceful,Available
2020,Its very reliable,Cleanness of the bus
2020,Just love the drive,Nothing much
2020,Quite satisfied overall,Aircond-nise all the stations
2020,Safe trip to my destination,Nothing
2020,They are reliable,Their trust
2020,I enjoyed my last ride with gojek,Their prices and the type of vehicles they use
2020,"comfortable, nice driver",timing
2020,,
2020,Great services they have provided to me.,Pick up time
2020,It has never let me down and I can always rely on NEL to get me to my destination on time. Frequencies are great at peak hours.,NEL can have more poles/hand-holds in the trains especially during peak hours when it gets too crowded and some are unable to find a grip
2020,It has remained consistent in its services delivery overtime with little or no compromise.,It's vehicles availability and quality
2020,Longetivity,Rewards
2020,Their services was appealing to me.,More discounts
2020,still not too bad,their breakdown frequency
2020,Gojek is very reliable and they are tested and trusted,"I guess they seem perfect, they can actually reduce their fare charges"
2020,THEY ARE RELIABLE,THEIR SERVICES
2020,I have always used it and prefer using it compared to switching,Fare prices
2020,They have been tested and trusted,Help reduce their fee
2020,Their services are unique,They should improve on their waiting time
2020,Reliable and efficient,Providing more payments options
2020,"The bus is clean, mostly on time and the bus Drivers are mostly nice",It can improve on the NUS’s punctuality
2020,Is ok and I think they deserve it,New features for people to be convinced
2020,My experience with the operator,Nothing yet to think of
2020,Is decent services that i would expect,frequency
2020,They are very good and efficient,The overall service
2020,They are reliable,Car model
2020,Very good,"Nothing,,it's better"
2020,"It is a very wonderful means of transport, I can only wish the best for them and recommend them to my colleagues, a100 rating",Their speed in attending to customers
2020,too costly,reduce price
2020,Because they provide top notch services,I think they're doing just fine
2020,"Its easy, reliable and trustworthy, most especially they treat their customers well.","Nothing, they are just perfect."
2020,They're dependable,Nothing
2020,More operation is needed in areas of customer service,Better customer service agent to issue help to customers in need of help
2020,Very relevant,Improve on customer services
2020,Because Comfort/City Taxis provide best services,I think they're doing just fine
2020,"They are reliable, they keep to time, the journey is smooth, The captain accommodates,The fare isn't too exhorbitant",They should improve on how they relate with the passengers
2020,They have done a decent job so far,cleanliness
2020,nothing special,
2020,Company waived rental fee for drivers. That's a great gesture thus I want to support them  Secondly PHV drivers are not so safety conscious on the roads,App is not user friendly and Comfort need to make it more intuitive
2020,It's very good,I can't say
2020,It have provided consistent and reliable services to cater to my transport needs,
2020,seldom breakdown,train frequency
2020,Very clean and the good frequency,Smooth ride
2020,I have not personally encountered a train disruption.,The speed at which the trains travel as it appears to be slower outside of the city area
2020,its a smooth ride,the speed
2020,I have used it for many years with no issues.,NA
2020,"Reliable, fast and easy to operate",To maintain their stability and standard of safety caution
2020,Feel just right,Waiting time
2020,Because they are appealing and accurate in all ways to meet all my appointments,They should kindly improve on their speeds
2020,"I have given them ratings based on my personal interactions with them and their services, which i must say they're reliable, useful overall .",Nothing to comment on yet
2020,Short waiting time.,"At the moment, I hv nothing to suggest"
2020,peak hour,training
2020,reliability,customer service
2020,Affordability,NA
2020,"Sometimes, the bus is driven awfully slow like a tortoise. sometimes, its super fast like a racing car.",control the speed
2020,"circle lines operates mainly in neighbourhood area, which is . very useful. often not very crowded as well",
2020,Frequency good,More bus
2020,Good experience,Nothing
2020,Overall good experiences,Bus timing
2020,Train travelling time has increased compared to previously.,Increasing train frequency
2020,"The rides are generally very pleasant, as the drivers have very good grasp of the local roads and are able to reach my destination timely and smoothly. However, their driving techniques can be quite uncomfortable sometimes due to the jerking. Also, there",The smell in the cabs.
2020,"Their services are so much impressive,  the driver is a very good one, the car was exceptionally neat, the drive was also smooth.  I had an overall satisfaction.","Majorly I think the conver part of the driver, their communication skills needs to be well groomed."
2020,Its the best out there in terms of easy transportation,I really can't say. They already doing enough
2020,It is so good,NA
2020,They try their best in providing quality services to the passengers,Nothing for now
2020,They satisfy me totally,Nothing really.  They are perfect
2020,"The experience has been satisfactory so far, train frequency is rather prompt and breakdown few however the train can be quite packed during peak hours where everyone is back to back and can get quite uncomfortable.","Train frequency during peak hours. Fares are also getting expensive, please lower public transport fares."
2020,"Not excellent but not bad also, I believe with time they will improve",Safety
2020,Very reliable,
2020,the purple line is very good in my opinion the staffs are helpful and friendly but i think the train should look more modern,desin
2020,their working attitude was good and smooth journey,currently all good
2020,"Overall satisfactory, frequency can be improved. Speed also varies among drivers - some drivers are extremely slow and/or jerky when driving.",Frequency and speed
2020,They have the best services for their customers,Improve the navigation of their app
2020,Feel comfort on the Confort / city taxis,So far I satisfied the services.
2020,Availability and ease of use,The time taken to arrive at the desired destinations
2020,because they are quick,they are doing well already
2020,My honest opinion,Customer service
2020,In time  Fast   And  Cheao,Don't brake to hard
2020,ok service,bus frequency
2020,More reliable than other services,Pricing
2020,"Cheap, reliable, on time","Cleanliness, helpfulness and friendliness of driver"
2020,This bus operator provide best and smooth services for easy usage and safely purpose. They offer one of the best bus services,Easy accessibility to their services
2020,reliable,yes
2020,They are very prompt in time.   They drive safely   Timely customer service,Their customer service
2020,Because they are very reliable and very suitable to commute with.,I think they should improve on adding more seats and should increase their welfare packages to their customers.
2020,It's very good to get all the choices right is a great reminder for me,By acquiring more artificial intelligence
2020,Best quality always,Accurate time
2020,Because they are reliable,Nothing for now
2020,He is calm and polite. Good customer satisfaction and drives slow and steadu. No panicking when he on the wheel. Very good operator,Right now everything is perfect. Couldn't think of any for now
2020,Reliability and goo customer experience,They absolutely good knw every way to me
2020,"Quick booking confirmation, affordable price. Safe drivers and safe drives",Giving more rewards
2020,"Cause I enjoyed most of my experience with them, it was easing and so much fun, I love working with them always","I think they're doing a great job really, but they could just try improve on train arrival times somewhat"
2020,Good,Way of addressing the passengers
2020,Overall a positive experience. Only during the peak hours the trains get too crowded and children sometimes gets pushed.,Bringing two coaches train continuously in the peak office hrs
2020,I really like the movement of the particular brand,The offer for artificial insemination
2020,They services are the best in transportation,They services are very good they should not improve in anything
2020,its okay idk how it can be improved really but at the same time i do expect better,frequency during peak hours
2020,They've delivered pretty well in ensuring customer satisfaction,Quality of drivers they hire. There should be a driver training and orientation programme
2020,Reliability and comforting nature,Their vehicle variation
2020,I just like it,NA
2020,"They are just neutral , nothing to complain .",Their customer employee relationship
2020,Room for improvement,Maintenance
2020,They're very easy to access and their service is also affordable. It seems good riding with them,Their bus driver should not drive Ruthlessly and maintain a good relationship with client
2020,Excellent service,Fare
2020,Rarely have train disruption issues,Investing on new trains & more frequency of trains
2020,Satisfied with the bus rides but at some point there are rides where the bus driver is not easy to communicate with due to language barrier.,"Nothing much, really. Rides are good but can improve on communication with the passengers."
2020,"its affordable, comfortable and perfect",they should try and improve on mobile app flto ease transportation
2020,They usually take much time to arrive,In their time
2020,I have a good experience with them and they always meet my needs.,Digital bookings
2020,"Well,  their ability to respond to complains, drivers drive safely, they also keep to time agreed.     Their taxis are always clean and the soft music the drivers play in the taxi etc",The fare and maximum time of arrival to place of booking
2020,Fast.. Easier access,Nothing much.. They should be invoke
2020,"The trains do not break down often but when they do, it is mostly during peak hours and thus the stations become very crowded and it is hard to find alternative forms of transport. However, the Purple Line trains and stations are very clean and it is a co",Increasing connections to other MRT lines to make it more accessible to other parts of the island (eg. Yishun or Paris Ris).
2020,I seem not to appreciate them,All round services
2020,They have a very good policy with there cosyomers,I think they are perfectly ok
2020,More consistent,Customer services
2020,Overall experience with grab have been wonderful,For now the company is doing great
2020,"882 is a good bus service with polite drivers but the due to the increase in people living in the area, the bus frequency and crowd has not quite met the demand accordingly",I think they could cater more buses during peak hours and try to upkeep the cleanliness of the bus better
2020,They are liable and cautious with road signs and safety precautions.,Provision of little snacks for customers during drive.
2020,Ihe operator of the bus number 113A is a good bus,The operator of the bus number 113A is really comfortable
2020,They are very good.,Nothing
2020,Satisfied customer,Accepting passengers with infants
2020,Smoothness of transportation,Frequency of the bus
2020,because they are good,they are good
2020,"I'm a regular user of the North-South Line, I believe it's in my position to offer my sincere thoughts on the train services so there can be improvement where necessary. Thank you.",Arrival time of the trains
2020,They should keep it up. Now I prefer a public transit on a long journey than my private auto.,The approximately taken off time.
2020,They offer excellent services and comfort,They can improve on their promotions
2020,I love their friendly aspect of the business,Nothing in particular
2020,Not satisfied,On all their ways of doing things
2020,I didnt experience much breakdown or faults for most of my train rides,"Having train arrival time on apps where people are able to know of the train timing even before the arrived at the platform, so that they are able to better plan their time"
2020,Very effective,None
2020,I enjoyed their services alot and hope to see more improvements,The look of the vehicles
2020,They have the best service so far and they deserve they ratings,Expanding business
2020,Please provide more buses in this route with newer buses,New buses must be provided & frequency of timing fleet
2020,many cars available near the location,the promotions and reward system.    also the price. consider better pricing system especially during peak period.
2020,"Overall had a good experience, nothing to complain about","Frequency during peak hours. For example at around 6pm at Kent Ridge MRT, there would always be a long queue."
2020,My experience with the service was great,He's perfect
2020,Very good,By good maintenance
2020,They are the best,Their busses
2020,They're trying their best,Driving aspects
2020,They offer wonderful transport experience,Customer service
2020,I am satisfied with their service,I can't think of anything
2020,I gave them that rating for the fact that their service was superb and very confinietly,Absolutely nothing for now to me
2020,"Sometimes, when the elderly passengers has not their seat yet, the bus captain will start driving the bus, causing the elderly to stumble.",Their bus frequencies and the bus driver's care for the passengers.
2020,Generally reaches destination on time. Well spoken. Friendly.,Frequency of bus arrivals. Intervals between each bus is too long
2020,It is comfortable and reliable,Nothing for now
2020,Good timing,Customer service
2020,Everything seems to be good,Great
2020,The service is ok,Nothing
2020,Services very satisfactory by me,Absolutely nothing for now
2020,"Because comfort/city taxis are reliable and they arrive on time, and easy access to booking a taxi","They should work on their prices, discounts should be given to consistent customers"
2020,Unpredictable,Many areas such as leadership
2020,It's appealing to me,Nothing specifically for the moment
2020,The best experience I ever had was with NSL Red,They've improved far beyond  my expectation
2020,No reasons,Customer service
2020,Because I have not gotten any bad experience from them,They very ok the way they are doing
2020,overcharge,more transparent pricing.
2020,Generally MRT is not overcrowded.     The time needed to get from one station to another is quite fast.     Aircon is quite good too.,more trains during peak hour especially at town area
2020,I believe that this bus has been operating for years since over 10 years ago and the route has never changed. The bus frequency is slow and inaccurate sometime but other than that it's fine.,I think they can be more frequent because the bus is always congested at peak hours when workers are returning to their dormitories.
2020,The availability  The comfort of the trip   As well as the cleaness and smoothness of the driveway,Prime should improve on their online system
2020,Moderate fare,Time
2020,Because of the quality of services they render,The reliability of their services
2020,"The operator is very polite to customers, and the bus is in good condition.","I don't think their is anything more to improve on, the operator is doing really good at is job."
2020,Easy and smooth transportation,Time management
2020,Nice and smooth ride. Just cool.,Continue to improve. Things can become more better.
2020,They are reliable and fast,Nothing
2020,i travel most to little india,frequnt tuas line
2020,Their servicesare great,Hygiene
2020,It goes direct from my home to work. 30 mins.  Clean and not busy,Keep the costs down
2020,They provide great service,Hygiene
2020,Very satisfied with the journey,
2020,Because the services are just good enough. And it's a widely known company so that makes it trustworthy.,"Nothing specifically, for now."
2020,Accuracy,Space and accumulation
2020,"Grab has the most user-friendly app and its ease of getting a ride is the best among taxi and other private hires. However, the cost of a ride can be quite pricey if not for their discount codes.",Grab can improve on its app gps location as the waiting time can be longer than expected.
2020,Generally bumpy rides but still clean and polite drivers.,Try not to brake so suddenly.
2020,Based on my experience it was superb and one of the best,I think the customer service
2020,I rarely use other vehicles for transport other than my car but I felt satisfied enough with SMRT Taxis.,Charges
2020,"because so far its good for travel dont have any delay of timing and well maintained ,cleaned properly.","to be improve on timing , can be avoid the change over train to bus"
2020,I rated North South Line (Red) highly because I'm satisfied with their services.,They are doing well already
2020,he is a very nice person and helps you to get wheir you need to be and is a fantastic driver,I think maybe be a little bit more helpful but he is still helpful if you know what I mean
2020,you can choose vehicles,being not late
2020,"Compared to most of the other country's bus system, the operator of bus number 15 provides a consistent and timely service with a plesant ride.",Nothing much to imorove on
2020,It's satisfactory but there's still much room for improvement compared to my ideal system...,"Facilities, Train Frequency, etc..."
2020,"There are days, where there would be smooth rides but there are days where the bus driver would constantly step on the brakes very hard and forefully, which causes me to have terrible headache after that. But overall, i am glad that the bus driver brought","Bus driver should try not to suddenly step on the brakes and cause a massive jerk to the bus. Some bus drivers because of meeting with some bad commuters, they tend to resolve their anger and resentment by stepping on the brakes harder than they should be"
2020,They are performing very well,They are okay
2020,I have had mostly good experiences with the circle line  It gets me where I need to go,Nothing much
2020,Secure and comfortably,Price
2020,The North-East Line(Purple) is fairly timely in transporting me to my designation within the Purple line,The North-East Line (Purple) can have better air conditioners and renovate the interior to have a brighter and appealing layout.
2020,They have do a great work and for every stop of east west line is just near to the shopping center.,More seats and a reflection window for the people who sit in the train that their back was facing the window will not feel hot when the sun shine at them.
2020,My reason is basically so that they could improve their availability.,Availability
2020,So far so good.,Frequency.
2020,Reliable,Perfect for now
2020,I am commuting everyday and I find it very comfortable riding the bus.,More frequency on buses
2020,fulfills basic requirement of cleanliness and functions but could be better in terms of train arrival information,"train frequency during off peak, 7mins is just too long for those travelling in off peak"
2020,"need to increase train frequency, it is too crampy!",increase train frequency especially its the line with most foot traffic
2020,"Because of the Covid19 less people are travelling on the public transport for the past 2-3 months, so the train rides are much smoother and less crowded.",To be able to monitor the crowds at the platform in real time and be able to co-ordinate with train drivers on their arrival time.
2020,Too many people using this line so need more often schedule.,frequency
2020,I like thats it’s generally cheaper than its competitors,Lower price is always nice for a consumer
2020,The best of it all,There are the best thing that ever happens you can see the picture
2020,"It is clean, reliable and is able to get me from point to point without difficulty",Perhaps the time taken to travel from 1 station to another is sometimes too slow
2020,not bad,
2020,There hand to to get get to get get to get get to get,The best for the best for the that was just want you know how much
2020,Waiting time for trains are longer as compared to the rest,"Shorten waiting time, more frequency"
2020,They have arrived within 5 minutes of expected time.  Driver are courteous.  Easy to board bus,Better frequency
2020,I felt satisfied with the service,Can't say
2020,The downtown line trains/train stations has mostly been smooth and comfortable for me.,"I which the platforms was easier to get to. It often involves many escalators. However I don't think that infrastructure can be changed. If things moved a little faster, eg, escalator speed/lift speeds that would help."
2020,I felt the service only satisfied my minimum requirements.,Frequencies
2020,Please note there is a mistake in one of my answer . I select 2. It’s wrong . Should be 8    They are doing a good job . Of course everything are still room for improvement,Less hold up on the morning peak hour
2020,it has been reasonably nice journey with NEL,Cleanliness of the cabin interior especially hand grips.
2020,The best,There charges
2020,no issue to wait awhile,promo codes
2020,Drivers don't know the roads well enough,"Drivers to improve on knowledge of the roads, be more professional"
2020,basically it's the packed crowd in the train that is the problem for me.    other than that everything else is fine.    except that the fares can be lower and nowadays i just hope that the train doesn't breakdown suddenly.,increase the train frequency so that it is not extremely crowded when 1 train comes.     and just don't breakdown
2020,Nothing,None
2020,Good,Frequency
2020,Bssed on travel experience.,More punctual. Update bus arrival info if bus is late or delay.
2020,It offer good services,None
2020,"I'm happy with the operator of bus number 21 although there ve been some challenges, that's the reason I decided to be honest.",Arrangement of the bus.
2020,So far the experience is positive,None I can think of now
2020,They're just too good at what they do,They should improve on their courtesy a little bit
2020,They assure comfort and safety in their ride.,Their wating time period
2020,They've never disappointed me,Safety and prevention of infectious and contagious diseases
2020,They are very fast and easy to contact,They should improve on the time taken
2020,"Circle line services are generally reliable and of high quality, esp in the cleanliness part and customer service. Trains are also reliable and fast during peak hours, however frequency during off peak hours can be improved esp during circuit breaker. 10","They can increase frequency of trains, especially when ridership will increase in the coming years with growing popularity, also possibly due to ris limited capacity of 3 cabins thus it needs more trains to compensate for that if not there would be massiv"
2020,In the hope that bus 19 can extend the operating hours,To Ensure that the bus moves only when the last passenger had held the handle
2020,good services,i dont know
2020,Poor driver road knowledge,Training for drivers
2020,"This bus no give me a sense of security during the journey. I felt save. The only complain l like to bring out is if you board the bus during peak hours, there is no comfort felt. The bus is crowded with people and it feels warm.",More frequency during peak hours so that one bus will not be too crowded.
2020,"Efficient, simple",Might have to increase frequencies of trains in the morning to help improve comfort of passengers
2020,General opinion and comparison to other lines,Nothing specific....maybe .frequency
2020,"The most prominent complain I have is the inaccurate waiting time for the ride to arrive. otherwise, its relatively ok, with the lack of discounts given by the company over the past few years.",More discounts/ promo codes as well as to improve the accuracy of the waiting time.
2020,I'm well satisfied with their work.,They seem okay. I don't seem to notice anything.
2020,Their awesome service delivery.,They're okay for now.
2020,experience with downtown line is much better than other lines,not sure
2020,Average,Price
2020,I had a fairly good experience with the bus,Neatness/hygiene of the bus and driving speed
2020,Because they are doing great job so I need to rate them higher,For now they are doing fine
2020,"Good but I would like to raise my complaint on bus 975 because all the questions answered I am not satisfied with the bus punctuality and bus frequency of bus 975, very hard to raise a complaint or not sure where to raise the complaint.",No comment
2020,Neither good nor bad,Nothing much
2020,i have nothing to complain,frequency of trains
2020,Fare very high... BUT standard still not improving...,"1. Trains need to have good maintenance for cleanliness and air-conditioning services.  2. Need to increase the frequency of Peak Hours.  3. Station Elevators/Escalators maintenance to be done after train services, this had cause the inconveniences.  4. C"
2020,its so  nice,srgs htdh dth
2020,good,none
2020,My ratings are as a  result of my colleagues usage of it,I think the prices could be slashed a bit
2020,They  are best,Nothing
2020,Good services,Customer relations
2020,They are excptionally good,the cleaniness in the bus
2020,I love their services and it is one of the best to me,Addition of more routes
2020,everything is going well,good enough
2020,Fast and comfortable rides,More spots on the purple line connected to green line
2020,It always take a longer time for the bus to arrive. The bus driver is driving slowly to go back to the interchange,The frequency of the bus
2020,Because they offered me a satisfactory service,Advance technology updates
2020,its ok but not great,more trains
2020,Grab is slightly more expensive,Pricing and promotions. Recently promotions limited
2020,They are reliable and very helpful,To improve in there application management
2020,Because have used prime and knows about it,Fast Customer response
2020,"Estimated arrival time of train was quite accurate, train was clean and well equipped with safe social distancing advertisement and reminder. Train was less crowded due to the covid situation and more comfortable to take a ride.",the frequency of train
2020,"Great services provided, nice customer service and convenience.",More routes can be added
2020,all m experiences have been exceptionally pleasant with no discomforts or problems,bus frequency
2020,I believe NS line can be improved better without increasing its fare. The frequency and breakdown is much lesser than before. I hope it can continue to maintain or improve its standard.,To improve the cleanliness of the trains and the breakdown.
2020,So quick,Improvement
2020,They are very good,Nothing actually
2020,It is very adorable and affordable and also good ride,Fares
2020,Reliability and availability is second to none. Price is predictable and stable unlike ride share services.,Lower fares slightly
2020,because they are quite relatable and unique in all forms in their good concept,they should work more on the customer services
2020,They are the best so far,Their Service delivery speed
2020,No reason,Having toilets in every stations
2020,seems to be getting old,renewing the trains
2020,No consistency,"Customer care service could be more helpful, frequency of train should increase, cleanliness need to improve especially the rest rooms."
2020,overall still quite efficient taxi company,standard of taxi drivers
2020,I find the taxis to be a very reliable mode of transport and their wait times to be very short compared to others,Perhaps to speed up the process of finding a taxi more. Maybe down to 3 minutes on average
2020,They trying,Nothing.  They're good
2020,The have good customer service,Improve in their customer relationship
2020,I'm very ok patronising them,Luggage attendance
2020,For their user friendly app I give them thumbs up and I feel comfortable by the driver and cars provided.,Nothing much.. but work on keeping their good drivers and workers.  They are actually the best.
2020,They’re the best I think when it comes to this,Absolutely nothing
2020,Has been reliable my whole life. Lots of things can be improved still,Train disruptions  Timing of last train extended  Crowd management  Seat comfort
2020,Buses are well maintained and drivers are friendly but frequency of buses for the 92 route can be improved as waiting time is around 15-20 mins,Reduce waiting time
2020,satisfies commuters requirments,Number of trains between Tanah Merah and Airport can be increased. now waiting time is more
2020,"The operator of bus number 88 is very polite and helpful and usually arrives on time. however, the bus rides could be a bit less jerky.",i think the operator of bus number 88 can try to drive a little smoother.
2020,Customer friendly,Price
2020,Grab app is easy to navigate.  waiting timing is short as well.,Rewards from Grabcar can be used for grabfood.
2020,no particular reason,It is good enough
2020,It delivers an average limit of my expectations.,"Their payments option, they should work on fastest way for passengers to make payment."
2020,"I used this transport service almost everyday, and so far it has met up with my standard in terms of cleanliness, timely arrival (punctuality), friendly operator workers and the conduciveness of the vehicles",More buses
2020,"Satisfied with the service, comfort and ease of booking",So satisfied I don't see any improvement I can recommend for now
2020,alway room for improvement,friendlier bus captains
2020,I am satisfied .,speed
2020,"fast, reliable, comfortable","nothing for now, really good"
2020,"So far, the travel experience has met my expectations - and my travels are usually during peak periods. The train service is reliable.   What can be relooked:   - women only train cabins during peak periods  - considering not charging if passenger exit fr",As mentioned previously   - women only cabins during peak periods  - relook into not charging if passengers exit from and enter into the same station
2020,1. Ease of accessibility.  2. Safety of passengers.  3. Driver's knowledge of routes.,Fare charges.
2020,very convenient as it connects me from my house right to the city area in less then 40mins.,it is very good
2020,Easy to book and pay,Get discount
2020,There is nothing to complain. Great service,Nothing specific
2020,"Overall ok if there are no train disruptions. Train can get crowded during morning rush hour due to 5-7 minutes wait for next train. If trains came every 2-3 minutes, less people would rush in to get into the train",train frequency during rush hours and time taken between train stops can be quicker by 15-20%
2020,I love the services,None
2020,Wish for more frequency and lower bus fare rides,Smoothness of the ride. Can be quick jerky and will lose balance at time due to sudden jam break
2020,Based on personal experience since I take the train almost everyday. It’s quite hard to give an actually number to rate the quality of the rides but overall everything was quite satisfactory in exception of the occasional train breakdowns which in my ex,Condition of the train? Seems pretty old.
2020,It is a staple in Singapore,Better training for the drivers so that they can continue to improve. The navigation system they are using is quite old and sometimes inaccurate. Provide more support to drivers especially in this covid times and set up more safety measures instead of jus
2020,i like the fact that it is easy response and  i dont have to wait for hours,nothing i could think of right now
2020,"nowadays there are a lot of empty seats. it is very comfortable to ride. As compared to the past, we were treated like sardine as it is always very overcrowded as operators wants to maximize profits at the expense of commuters",nil. jus hope that most passengers can have a seat
2020,They seem ok to an extent,Increase health related stuff
2020,Past experience,Pricing and promo
2020,"Generally NEL is clean and provides better environment than other lines. But at times, the ventilation is an issue! It can be rather stuffy inside the train, especially with the crowd.",Ventilation!!! Air con is always down? Very stuffy
2020,Good,More train interval
2020,It comes often however there are many other people boarding hence i am still unable to board. A need to increase bus frequency during peak hr,Increase bus frequency
2020,That's what I think,Fares for the less wealthy
2020,SMRT always delivers,Nothing
2020,it breaks down sometimes,dont breakdown
2020,Based on many years of experience on taking the bus,Definitely bus driver's personality and information on the bus ride to be interactive with passengers!
2020,It is very interesting,NA
2020,My usual bus since young,
2020,I like it so much,Nothing
2020,Quality of service they deliver,Service for humanity
2020,I totally enjoyed their services,The fares. they should go down a bit
2020,It's fast and clean,The service
2020,there was no problem,food delivery charge
2020,helpfulness of the staff member,train arrival frequency
2020,NA,no comment
2020,i has a comfortable ride from them in the last 3 months.. no problems with them.,ya the bus timing from the interchange can be more accurate.
2020,They are too complacent being the dominant player in the private hire industry now,its attitude
2020,standard class,can be improve
2020,"I am a simple guy. as long as the train serves its purpose of bringing me from point a to point b, i am contented.",air-conditioning can be a bit inconsistent at times.
2020,comfort and safe,driver skill
2020,"I had,a pretty good experience with them the last time.",Waiting time
2020,It is fast,Confort
2020,no improvement even after complains lodge...,more frequencies and driver must stop within the bus stop and not far away even without any bus in front
2020,It is very efficient I am very comfortable with the services I received!,"Since we are on the pandemic, I wish they can be more particular with the protocols they give and reinforce."
2020,convenient,fare of transport
2020,"Comfort and City Taxis are comfortable to travel in as compared to others but SMRT Taxis are equally close.  Comfort and City Taxis are more on the road. However, now the number is less due to the increase number of private hired cars which I still do not","The company should give more rewarding packages to the drivers so the number of taxis on the road can be increased again.  This is the main thing Comfort/City Taxis should improve on.  Other than that, just keep the comfort level of the passenger experien"
2020,"Train frequency is good, trains are faster than the red/green line in between stations","Nothing, it's fine"
2020,they take me home safely everynight without any significant hiccups,being less squeezy
2020,Because am convenient with their services,They should improve their services to be more better
2020,"I feel that the North-South Line (Red) is always very crowded in the morning (peak hour) and it is very hard to get in. Other than that, it is difficult to come out as the train station is just very crowded.",It can improve on managing large crowds of people.
2020,the cost,lower the cost
2020,fast and kind,
2020,"i have taken 176 for long, i am fine with the services, but find the drivers can be more civilised, and not be rude or pushy.","the fares could be lower, and the frequency of the bus, and the air con in the bus to be colder, as singapore is very hot."
2020,There are more improvements to be made on travelling smoothly and timely. Reports on the latest train situation should be delivered swiftly to prevent public’s disappointment and give enough time for consumer to change their travelling plans,Delivering reports of the train situation and timely arrival and departure timings
2020,They are the best to me,I think they are doing their best
2020,That's what i feel,Fares
2020,personal experiences,lower train fares
2020,"Service is as expected, not exceptional nor bad.",
2020,The fare has gone down.....but sometimes the drivers are abit straight forward.....,They can give more promo codes
2020,cheaper as compared to other taxi services,providing better incentives for drivers so that they can be more motivated
2020,the line is good but i feel that it could be a little cleaner and sleek looking like the blue and circle lines,the look on the stations and the trains. can be more modern looking like the blue line especially the entry gates where we tap the ez link card
2020,I am usually satisfied with my experience.,More accuracy for bus frequency as well as expected bus arrival times.
2020,I like it so much,Customer services
2020,"Relatively short waiting times, fair pricing, drivers are friendly and knowledgeable of the road.",Cleanliness of the car.
2020,It's like beyond my expectations and is a conserved area,It's perfect but if possible add more cabins
2020,long wait time for taxi using app,price
2020,because they are good,nice transport
2020,Cool,Cool
2020,Very efficient...,Nothing
2020,"There is always room for improvements, but so far, Gojek has been reasonable with their pricing.",Road Map Accuracy
2020,"Downtown line(blue) is the newest of Singapore's mrt lines and tends to be the most confortable, not crowded as others, plus it now allows easy access to parts of Singapore that previously were quite painful to reach by public transport. The 3rd stage of",Improve mrt frequency to address crowding during peak hours.
2020,"It's cheap, fast and can be use in emergencies",It's app as it have less users
2020,Their services provided are excellent and safe,Providing more and reliable buses
2020,"Station toilets are bad, red line is known as the slowest line as the trains are slower there.  Other than that, it is ok.",Toilets and train speed
2020,"The staff are not helpful at all, especially for lost-and-found items - it's as though none of their business.     Very disappointing experience from a staff in the  Passenger Service .",Customer service
2020,Mornings always see 2 buses arriving at the same time and having to wait 20 minutes for next bus.  The activity of such things happening has no pattern so it's purely on a luck basis.  Reaching out doesn't help as there's simply no response.,Accuracy of arrival time and the frequency stated on the notices.
2020,So far I have not encountered any major issues with the downtown line.,Maybe the line can improve on the time required to reach a destination.
2020,The operator is doing their work as expected.  I don't perceive any extra effort being put in compared to other service provider,The cheerfulness of their bus captain or at least acknowledge riders boarding the bus.  Though it is probably a long shot as not all enjoy their work especially with nasty customers around.
2020,the bus frequency needs to be higher but overall the services in the bus and the journey is good,frequency of the buses! as well as driving to the arrival times shown
2020,Reliable,Comfort
2020,"I don't really experience disruptions when i take purple line trains, the ride is always smooth and comfortable and the speed of the train is fast as well.",NA
2020,its nice area no comment. thanks,cleanliness that time have one person throwing up just like that
2020,"One of the newere train systems so no surprises to me that it is still in very good condition, compared to the EW and NS lines. Also, less people live along the NEL line so there is also less wear and tear. I enjoy that this train is always not as crowded",pls maintain this for long term
2020,i travel mostly during off peaks hours and the circle line is fine during those times.,increase train frequency during off peak hours.
2020,hmmm base on straight facts,yes!
2020,Idk,no comment
2020,,no comment
2020,I waited for seven minutes,No idea yet
2020,I gave those ratings because they have always meet my expectations,"They should provide more taxi, so as to reduce waiting time for people"
2020,I gave them the ratings because they met all my expectations,They can improve more on adding more new inventions.
2020,Its valuable,None its doing well
2020,Generally OK but have space for improvement,Train cleanliness and quantity and frequency at peak timings
2020,NA,Crowd control
2020,"I feel better with this for journey, and its most cheap and secure","I think improve only  showing location on tv scree,  if this improve people more satisfied"
2020,They are fast and reliable,Time factor and reduction of price
2020,Good services,Cleanliness
2020,Five star,Na
2020,They cares for there customers. They have new transportation vehicles. They also response to your complaints.,They should maintain there integrity and trustworthy to there customers.
2020,"Service is good, efficient, mostly on time",None
2020,They work with time,Not things
2020,"They are very easy to use , very polite. Gets on with her customers very easy",The time of service
2020,I had a good experience with a friendly driver.,Nothing in particular.
2020,Good and efficient,More frequently
2020,I like the app is very fast an convenient to get a taxi there.,They could improve their app
